time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_11:15:28,lz4,1048576,20971520,1,1343.81,1096766552,369272,67.908,0.609,-4.627,21.296,False,37.380,28.089,1345.3,1345.7,1352.5,1348.6,1330.0,1321.8,1364.9,1357.7,1337.6,1337.2,1323.7,1365.7,1348.8,1343.5,1342.3,1340.2,1332.7,1357.2,1337.4,1343.6
23-04-25_11:16:34,lz4,524288,10485760,1,1347.24,1097464908,320352,68.336,0.546,9.233,26.038,True,36.377,29.313,1480.0,1485.1,1479.2,1453.3,1481.7,1480.6,1470.2,1279.3,1280.2,1301.4,1277.3,1278.9,1265.2,1285.2,1287.5,1270.1,1262.3,1263.3,1260.3,1303.7
23-04-25_11:17:40,lz4,524288,20971520,1,1292.78,1097420628,348308,61.531,0.550,1.312,21.131,False,36.353,29.389,1263.9,1300.3,1316.0,1291.9,1294.2,1293.2,1276.1,1291.1,1291.6,1278.7,1294.8,1264.5,1324.5,1277.8,1289.9,1269.3,1309.7,1326.4,1300.2,1301.4
23-04-25_11:18:44,lz4,262144,10485760,1,1300.14,1098590926,292432,62.451,0.444,17.144,26.679,True,36.019,28.661,1287.0,1269.7,1304.1,1265.4,1389.1,1270.0,1258.1,1280.2,1279.4,1335.4,1283.4,1283.8,1274.7,1356.0,1277.0,1293.0,1350.2,1382.8,1274.2,1289.1
23-04-25_11:19:50,lz4,262144,20971520,1,1182.90,1099054546,322436,47.803,0.401,8.643,18.949,False,34.913,30.593,1150.9,1151.0,1180.4,1160.8,1137.8,1220.5,1140.6,1217.7,1226.0,1158.1,1173.8,1133.0,1238.7,1177.6,1160.2,1137.9,1260.6,1183.9,1167.1,1281.5
23-04-25_11:20:56,lz4,524288,10485760,1,1282.14,1097464908,320724,60.203,0.546,9.128,23.292,False,36.763,28.757,1293.8,1272.3,1264.0,1278.4,1265.1,1278.2,1275.8,1264.1,1265.0,1304.5,1319.2,1307.8,1258.8,1302.6,1328.1,1262.9,1261.9,1296.4,1280.4,1263.7
23-04-25_11:22:02,lz4,524288,10485760,1,1283.92,1097464908,321656,60.424,0.546,8.864,23.278,False,37.600,28.724,1268.7,1250.8,1289.8,1269.0,1292.9,1274.9,1322.9,1314.8,1274.7,1278.3,1323.6,1278.3,1288.2,1265.7,1300.5,1280.1,1286.6,1274.6,1272.3,1271.8
23-04-25_11:23:03,zstd,262144,10485760,1,1104.16,1040355355,298016,37.963,5.721,15.562,19.749,False,30.326,30.151,1053.3,1115.0,1105.6,1110.0,1088.6,1100.8,1122.2,1102.1,1092.3,1116.0,1119.3,1117.7,1098.2,1099.3,1092.2,1114.7,1110.3,1111.1,1110.0,1104.6
23-04-25_11:24:08,lz4,262144,10485760,2,1208.54,1098590926,360732,51.006,0.444,-2.208,16.414,False,35.362,29.771,1206.5,1206.9,1189.1,1196.5,1193.4,1194.8,1237.0,1201.5,1298.7,1203.9,1184.4,1202.5,1181.2,1172.9,1225.0,1210.2,1192.0,1198.0,1210.5,1265.9
23-04-25_11:25:08,zstd,262144,10485760,1,1112.36,1040355355,298032,38.988,5.721,15.557,20.089,False,30.143,29.933,1118.4,1112.9,1128.1,1122.7,1123.6,1117.1,1099.4,1139.0,1114.8,1124.7,1120.7,1120.9,1129.5,1143.7,1109.7,1075.3,1050.3,1103.1,1075.9,1117.4
23-04-25_11:26:09,zstd,262144,10485760,1,1113.18,1040355355,307332,39.091,5.721,12.922,19.245,False,30.808,29.975,1113.8,1111.1,1108.6,1116.3,1109.4,1109.5,1101.4,1127.8,1112.2,1113.5,1117.6,1125.8,1130.9,1100.8,1132.6,1065.5,1117.9,1105.4,1123.2,1120.2
23-04-25_11:27:14,lz4,262144,10485760,2,1228.64,1098590926,361180,53.517,0.444,-2.335,17.209,False,35.693,29.736,1207.9,1198.4,1201.9,1248.3,1220.3,1200.3,1210.1,1250.4,1244.8,1276.1,1239.4,1274.9,1211.5,1231.3,1216.9,1219.4,1268.0,1225.8,1228.4,1198.2
23-04-25_11:28:15,zstd,262144,10485760,1,1101.85,1040355355,307076,37.674,5.721,12.995,18.797,False,30.372,30.727,1094.0,1074.4,1105.3,1103.2,1117.1,1084.3,1082.1,1115.5,1104.3,1081.5,1084.0,1106.9,1109.9,1131.2,1082.0,1112.3,1103.6,1105.7,1133.7,1106.1
