time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-26_09:17:18,lz4,4194304,104857600,2,995.60,2259784018,338791.60,108.304,2.017,-14.643,31.893,False,111.415,20.682,999.4,987.3,1006.4,998.6,996.1,996.0,996.5,1002.0,991.4,993.5,1001.2,996.4,964.7,988.1,997.5,1001.7,1005.1,997.0,1000.0,993.1,339384.0,341040.0,339988.0,340116.0,339240.0,338364.0,340100.0,331048.0,339400.0,338496.0,338344.0,338124.0,340048.0,338352.0,338380.0,339236.0,339368.0,338364.0,340096.0,338344.0
23-04-26_09:19:32,lz4,2097152,104857600,1,1029.66,2260127456,311814.40,115.430,2.002,-5.514,37.306,False,112.643,20.442,1027.0,1019.8,1028.0,1025.1,1027.0,1033.9,1028.2,1019.7,1025.2,1022.0,1024.7,1064.4,1022.1,1022.3,1035.1,1044.3,1020.2,1034.6,1037.3,1032.3,312068.0,311700.0,312712.0,311264.0,311340.0,311216.0,311180.0,312944.0,311688.0,311672.0,310940.0,311204.0,311844.0,312184.0,312260.0,311704.0,312908.0,311872.0,312056.0,311532.0
23-04-26_09:21:44,lz4,4194304,104857600,2,1055.32,2259784018,338502.20,120.799,2.017,-14.545,36.090,False,111.516,20.525,1060.5,1045.2,1056.0,1066.4,1057.7,1057.0,1053.7,1047.9,1045.6,1052.9,1088.4,1039.4,1042.5,1041.8,1037.5,1054.4,1059.7,1044.1,1059.5,1096.3,338784.0,337824.0,337840.0,338024.0,337860.0,329768.0,338960.0,338292.0,339032.0,340076.0,340112.0,340996.0,339700.0,340924.0,340832.0,337772.0,337760.0,337784.0,337820.0,339884.0
23-04-26_09:23:57,lz4,4194304,52428800,1,897.45,2263864705,292280.80,87.768,1.840,1.096,30.234,False,112.214,21.091,897.7,889.8,895.9,903.9,900.4,901.3,895.7,890.7,888.2,907.2,895.0,905.3,904.3,898.7,878.5,903.6,897.0,899.3,909.0,887.5,289792.0,294904.0,293244.0,294504.0,289220.0,293724.0,293712.0,294460.0,293716.0,293988.0,294144.0,288780.0,288688.0,289976.0,289960.0,293720.0,293352.0,288756.0,293956.0,293020.0
23-04-26_09:26:09,lz4,4194304,157286400,1,1049.46,2258421313,336241.80,119.573,2.076,-13.780,35.956,False,111.996,20.463,1070.8,1061.0,1052.2,1047.2,1033.3,1038.3,1045.9,1034.4,1054.9,1048.9,1056.1,1055.4,1038.4,1057.1,1037.2,1050.4,1052.5,1052.2,1061.2,1041.9,333508.0,332788.0,334608.0,333320.0,334552.0,334068.0,333796.0,345652.0,333816.0,333520.0,334572.0,334032.0,333080.0,347392.0,345680.0,345868.0,334576.0,332924.0,333256.0,333828.0
23-04-26_09:28:21,lz4,4194304,52428800,1,899.81,2263864705,292495.20,88.263,1.840,1.023,30.375,False,110.738,21.228,889.5,905.9,891.1,894.6,895.9,913.3,893.9,897.3,904.3,956.8,893.9,897.7,894.7,898.9,895.5,907.4,889.1,889.1,897.6,889.9,289140.0,294320.0,294436.0,288424.0,293272.0,288932.0,293280.0,290444.0,293004.0,294980.0,293396.0,293496.0,294240.0,294132.0,293780.0,293964.0,293720.0,289848.0,289700.0,293396.0
23-04-26_09:30:34,lz4,8388608,104857600,1,1028.13,2259762968,311879.00,115.108,2.018,-5.536,37.197,False,111.758,20.310,1035.8,1034.9,1008.0,1028.7,1025.1,1034.1,1029.2,1022.2,1043.1,1023.6,1027.3,1024.4,1035.6,1026.7,1018.8,1023.4,1023.3,1026.3,1041.9,1029.9,310976.0,312420.0,312088.0,312404.0,311440.0,312056.0,312252.0,312304.0,311576.0,312268.0,312448.0,311932.0,311928.0,311144.0,311952.0,311216.0,312888.0,311132.0,311180.0,311976.0
23-04-26_09:32:46,lz4,2097152,104857600,1,1016.93,2260127456,311749.60,112.766,2.002,-5.492,36.425,False,111.922,20.532,1022.1,1018.1,1011.2,1035.3,1012.9,1021.3,1011.1,1015.8,1023.2,1011.2,1006.0,1010.1,1016.6,1019.9,1014.7,1016.0,1022.6,1007.3,1022.2,1021.2,312424.0,311172.0,312796.0,311228.0,312052.0,310932.0,311164.0,312732.0,312240.0,311212.0,311248.0,311392.0,312360.0,312908.0,310956.0,311536.0,311952.0,311208.0,311264.0,312216.0
23-04-26_09:34:58,lz4,4194304,104857600,2,1012.61,2259784018,340531.40,111.861,2.017,-15.232,32.882,False,111.233,20.716,1015.3,1016.2,1008.3,1013.5,1015.6,1014.1,1012.6,1008.3,992.9,1017.1,1019.2,1024.8,1006.2,1013.1,1019.8,1013.7,1017.5,1016.3,997.3,1010.5,340744.0,340456.0,341696.0,340536.0,340564.0,340552.0,340520.0,342200.0,337828.0,340672.0,342176.0,338476.0,341700.0,340624.0,341188.0,340492.0,340464.0,341732.0,340460.0,337548.0
23-04-26_09:37:11,zstd,4194304,104857600,1,865.97,1946470506,322070.80,81.182,15.602,-8.985,29.266,False,110.950,21.642,855.6,845.9,857.9,892.1,891.3,857.6,859.6,882.1,849.0,855.0,856.4,878.3,908.8,854.2,882.3,857.3,861.1,859.0,854.9,861.0,321832.0,321396.0,322256.0,322396.0,322056.0,321632.0,322392.0,321424.0,321780.0,322832.0,322468.0,322544.0,322260.0,322032.0,321448.0,322828.0,322296.0,321620.0,321512.0,322412.0
23-04-26_09:39:24,zstd,4194304,104857600,1,878.58,1946470506,321900.40,83.819,15.602,-8.927,30.165,False,111.398,21.584,863.8,896.7,858.6,862.7,896.1,891.1,863.2,892.6,885.3,903.5,851.8,913.8,861.4,847.8,888.1,902.7,859.8,850.8,891.8,890.1,322424.0,322592.0,322436.0,321448.0,321772.0,322436.0,321424.0,322036.0,321452.0,321272.0,321500.0,321372.0,321688.0,323332.0,322212.0,322380.0,321528.0,321376.0,321792.0,321536.0
23-04-26_09:41:36,zstd,4194304,104857600,1,869.55,1946470506,322141.80,81.930,15.602,-9.009,29.508,False,110.399,21.554,856.8,884.9,848.6,890.1,842.5,876.8,876.9,850.8,859.6,877.3,887.6,873.1,885.3,883.5,861.4,879.8,874.3,877.2,856.9,847.6,321492.0,322460.0,322404.0,322540.0,322256.0,322860.0,321576.0,321408.0,321512.0,322560.0,321488.0,322776.0,321344.0,321412.0,322388.0,321648.0,322880.0,323252.0,321716.0,322864.0
23-04-26_09:43:47,lz4,4194304,104857600,2,1045.64,2259784018,340182.00,118.773,2.017,-15.113,35.226,False,110.680,20.493,1045.0,1044.5,1031.0,1057.8,1091.0,1036.3,1050.4,1082.6,1034.6,1030.5,1046.0,1032.9,1044.3,1027.9,1039.6,1046.3,1035.8,1045.1,1045.4,1045.7,339952.0,339576.0,340128.0,339312.0,340152.0,341624.0,339036.0,339932.0,340020.0,340980.0,341236.0,340424.0,340488.0,340192.0,338036.0,341212.0,340984.0,339932.0,340448.0,339976.0
23-04-26_09:45:58,lz4,8388608,104857600,1,1040.26,2259762968,311607.40,117.648,2.018,-5.444,38.074,False,110.981,20.339,1046.3,1046.2,1042.8,1031.7,1034.0,1073.6,1064.1,1057.2,1048.2,1031.1,1044.1,1009.4,1057.5,1053.2,999.6,1037.5,1023.0,1032.7,1041.2,1031.8,311916.0,312280.0,310948.0,312376.0,311264.0,311640.0,311232.0,311172.0,311208.0,312412.0,311264.0,311408.0,311672.0,311628.0,312240.0,312076.0,311220.0,311244.0,311248.0,311700.0
23-04-26_09:48:10,lz4,2097152,104857600,1,1029.44,2260127456,311563.20,115.382,2.002,-5.429,37.318,False,111.860,20.375,1039.7,1030.9,1024.6,1031.1,1014.3,1062.4,1019.5,1030.9,1027.2,1029.1,1030.8,1024.7,1022.5,1030.8,1020.1,1038.7,1022.1,1028.7,1033.2,1027.3,311340.0,312256.0,311672.0,311212.0,312192.0,311136.0,312296.0,311408.0,311224.0,312060.0,311228.0,311196.0,311668.0,311264.0,310932.0,311644.0,311652.0,311300.0,311192.0,312392.0
23-04-26_09:50:24,lz4,4194304,157286400,1,1054.26,2258421313,333388.60,120.576,2.076,-12.815,36.613,False,112.449,20.630,1089.3,1039.3,1055.7,1051.4,1046.4,1090.4,1084.9,1069.4,1057.8,1047.0,1031.6,1057.4,1029.9,1043.4,1048.0,1041.9,1046.7,1041.6,1032.3,1080.8,333736.0,332788.0,333064.0,333828.0,333864.0,333732.0,334092.0,334040.0,332544.0,333900.0,332788.0,333692.0,332856.0,333888.0,333292.0,332816.0,333180.0,333040.0,332888.0,333744.0
23-04-26_09:52:39,lz4,4194304,157286400,1,1046.88,2258421313,344357.00,119.033,2.076,-16.526,34.861,False,115.071,20.750,1050.3,1069.5,1028.4,1052.3,1033.5,1039.0,1047.6,1044.0,1044.6,1048.5,1047.0,1052.3,1023.0,1045.5,1034.6,1070.9,1063.6,1041.1,1052.4,1049.6,346432.0,346280.0,346960.0,346432.0,346372.0,346756.0,332900.0,345704.0,347448.0,347032.0,346172.0,345704.0,346892.0,345672.0,345348.0,345680.0,346988.0,345632.0,333812.0,332924.0
23-04-26_09:54:53,lz4,8388608,104857600,1,1032.13,2259762968,311659.60,115.947,2.018,-5.462,37.501,False,112.417,20.699,1032.8,996.6,1035.1,1027.4,1042.6,1039.0,1043.7,1041.6,1028.6,1030.6,1045.8,1034.5,1025.4,1041.5,1039.2,1027.6,1027.9,1008.3,1038.0,1036.4,310964.0,311148.0,311356.0,311180.0,312044.0,312244.0,312280.0,310952.0,312944.0,311152.0,312028.0,312908.0,311204.0,311304.0,312936.0,311348.0,311152.0,311248.0,311220.0,311580.0
