compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,131072,20971520,1,900.52,1100875309,9.296,0.236,4.766,False,902.5,900.3,904.8,906.0,893.8,901.8,889.2,898.5,902.0,906.3
lz4,524288,20971520,1,983.98,1097420632,19.426,0.55,9.988,True,961.5,986.5,990.1,977.8,980.8,988.1,992.0,985.8,990.9,986.4
zlib,524288,20971520,1,324.89,1038526184,-60.568,5.887,-27.341,False,325.9,321.2,326.9,321.8,325.3,325.2,323.8,328.2,325.7,324.8
lz4,524288,20971520,2,974.2,1097420632,18.239,0.55,9.394,False,974.5,976.6,970.2,987.9,960.6,981.9,969.6,970.0,982.7,968.1
zlib,524288,20971520,1,324.91,1038526184,-60.566,5.887,-27.339,False,322.8,328.0,325.4,326.6,326.4,324.9,323.1,324.2,323.4,324.3
lz4,524288,31457280,1,952.0,1097845350,15.544,0.511,8.027,False,933.2,963.3,948.1,953.2,952.2,965.5,965.2,951.2,933.2,955.0
lz4,524288,31457280,1,956.67,1097845350,16.111,0.511,8.311,False,952.0,956.5,955.3,958.6,953.5,956.2,959.2,959.4,949.6,966.4
lz4,1048576,20971520,1,981.9,1096766556,19.173,0.609,9.891,True,994.5,990.0,989.9,978.3,972.0,987.2,983.6,972.0,982.3,969.1
lzma,1048576,20971520,1,34.56,988366867,-95.806,10.432,-42.687,False,34.6,34.7,34.2,34.2,34.4,34.8,34.5,34.7,34.5,35.0
lz4,1048576,31457280,1,961.57,1096969972,16.706,0.59,8.648,False,957.1,974.6,955.7,962.4,965.1,953.0,965.1,964.8,956.1,961.7
lz4,1048576,31457280,1,963.38,1096969972,16.926,0.59,8.758,False,953.7,973.1,974.8,976.8,957.3,952.9,960.4,959.6,966.4,958.8
lz4,2097152,20971520,1,989.11,1096753266,20.048,0.61,10.329,True,986.7,991.6,978.2,981.6,1003.2,993.9,981.4,999.2,984.5,990.6
lz4,2097152,20971520,2,992.5,1096753266,20.459,0.61,10.535,True,995.4,988.0,988.9,974.9,990.9,1008.8,1000.1,1002.4,988.4,987.2
lz4,2097152,31457280,2,999.03,1096531365,21.252,0.63,10.941,True,995.2,998.4,1006.1,998.1,986.2,983.5,1003.2,1009.0,1006.8,1003.9
lz4,2097152,31457280,1,988.01,1096531365,19.914,0.63,10.272,False,1000.4,983.3,957.1,980.5,1002.9,991.8,987.8,982.5,998.7,994.9
lz4,2097152,31457280,1,985.07,1096531365,19.558,0.63,10.094,False,985.6,979.3,958.5,1008.8,988.5,991.2,1002.3,984.0,987.4,965.1
lz4,4194304,31457280,2,994.08,1096531365,20.652,0.63,10.641,True,1053.1,1051.5,968.4,988.7,957.6,989.9,980.2,983.9,974.6,993.0
lz4,4194304,41943040,2,996.15,1096411810,20.903,0.641,10.772,True,995.5,1002.9,1004.6,994.9,996.0,986.4,995.1,987.7,999.3,999.1
lzma,4194304,41943040,2,33.5,987575573,-95.934,10.504,-42.715,False,34.2,33.8,33.8,33.5,33.5,33.1,33.3,33.2,33.4,33.4
lz4,8388608,41943040,2,970.49,1096411810,17.788,0.641,9.215,False,969.0,976.1,977.9,966.7,955.8,984.6,978.2,970.9,958.5,967.1
lz4,2097152,41943040,2,964.25,1096424582,17.03,0.64,8.835,False,972.0,955.6,965.4,936.0,964.8,974.1,963.4,964.5,980.3,966.6
lz4,4194304,41943040,3,976.65,1096411810,18.535,0.641,9.588,False,976.5,991.4,992.0,984.5,971.5,967.2,974.0,985.6,949.3,974.5
lz4,4194304,41943040,3,968.05,1096411810,17.492,0.641,9.066,False,955.8,965.3,973.2,947.8,969.7,983.1,984.5,981.5,964.7,954.7
lz4,4194304,31457280,2,981.56,1096531365,19.132,0.63,9.881,False,979.3,953.3,992.5,987.0,976.0,982.9,985.7,991.2,985.9,981.7
lz4,2097152,41943040,2,976.47,1096424582,18.514,0.64,9.577,False,962.8,961.3,983.7,985.4,980.4,985.1,978.4,975.6,977.0,974.9
lz4,8388608,41943040,2,985.48,1096411810,19.608,0.641,10.124,False,989.3,988.1,980.1,992.8,994.4,987.8,978.7,978.6,985.1,979.9
