time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-21_13:59:13,4,zlib,32768,52428800,3,296.24,1076999135,-62.918,2.400,-30.259,False,30.083,81.420,297.3,296.5,295.7,295.7,296.9,294.2,297.6,296.8,295.1,297.9,297.3,295.2,294.8,297.9,296.3,294.0,295.4,296.9,297.9,295.4
23-04-21_14:00:19,1,lz4,65536,209715200,4,1125.80,1103463112,40.923,0.002,20.462,False,29.111,37.114,1131.2,1131.4,1118.2,1118.2,1125.5,1125.6,1123.3,1121.5,1115.7,1129.5,1130.7,1124.5,1129.7,1116.8,1134.3,1131.8,1131.9,1123.4,1119.3,1133.7
23-04-21_14:15:38,1,lzma,65536,104857600,4,31.78,1001243641,-96.022,9.265,-43.378,False,195.682,722.510,31.7,32.0,32.2,32.1,32.1,31.9,32.1,31.8,31.6,31.8,31.5,31.8,31.5,31.8,31.6,31.6,31.2,31.8,31.5,31.9
23-04-21_14:16:44,1,lz4,65536,209715200,4,1124.31,1103463112,40.736,0.002,20.369,True,29.060,37.414,1131.9,1124.4,1135.3,1116.9,1132.1,1119.4,1130.2,1113.5,1116.8,1117.3,1122.3,1113.6,1123.9,1125.1,1134.4,1124.3,1129.5,1123.7,1132.2,1119.4
23-04-21_14:17:47,2,lz4,65536,104857600,3,1152.97,1103445492,44.324,0.004,22.164,True,28.827,33.415,1093.0,1096.8,1112.1,1109.6,1106.0,1240.6,1108.9,1095.6,1226.8,1125.8,1110.7,1102.5,1099.1,1237.4,1113.7,1244.5,1234.7,1248.8,1241.8,1111.3
23-04-21_14:18:50,1,lz4,65536,209715200,3,1131.98,1103463112,41.696,0.002,20.849,True,29.180,34.296,1132.6,1138.6,1133.4,1130.2,1114.7,1130.5,1159.0,1132.9,1136.3,1120.6,1136.3,1136.4,1124.2,1154.2,1129.6,1133.4,1143.1,1113.5,1117.4,1122.6
23-04-21_14:20:06,2,zstd,65536,314572800,3,953.32,1050016584,19.332,4.845,12.088,False,33.728,42.266,948.4,1007.8,1009.8,953.4,942.7,944.0,936.7,968.4,941.8,942.1,968.2,945.1,944.5,948.4,951.3,937.2,944.7,940.2,944.2,947.5
23-04-21_14:35:22,3,lzma,65536,104857600,4,31.92,1001243641,-96.004,9.265,-43.369,False,196.445,719.151,31.9,31.9,31.6,32.1,32.1,32.1,32.1,32.0,31.9,31.9,31.9,31.7,32.0,31.9,31.9,31.9,31.8,31.9,32.0,31.9
23-04-21_14:36:27,2,lz4,131072,104857600,3,1176.10,1100867669,47.219,0.237,23.728,True,32.028,32.597,1181.3,1252.0,1168.8,1179.3,1167.9,1187.6,1148.2,1167.1,1168.0,1162.2,1157.8,1162.9,1181.7,1194.2,1177.1,1181.2,1167.8,1171.9,1186.7,1158.2
23-04-21_14:37:36,1,zstd,131072,104857600,3,995.27,1047619587,24.584,5.063,14.823,False,34.756,34.360,1005.0,987.6,993.4,998.1,991.1,988.6,990.5,1003.0,977.6,995.2,996.6,992.1,991.2,1002.2,1009.4,1036.6,987.9,995.3,976.3,987.7
23-04-21_14:38:41,1,lz4,131072,104857600,2,1170.23,1100867669,46.484,0.237,23.360,True,31.989,32.842,1148.0,1162.8,1150.0,1153.1,1136.3,1156.0,1149.9,1262.6,1183.6,1271.8,1151.2,1184.6,1147.0,1165.3,1161.9,1149.6,1231.0,1140.4,1149.7,1149.8
23-04-21_14:39:48,1,lz4,262144,104857600,2,1208.90,1099061235,51.325,0.401,25.863,True,34.289,32.469,1208.1,1208.4,1173.9,1195.6,1288.9,1175.9,1203.3,1201.2,1199.7,1198.8,1189.1,1190.0,1187.0,1196.1,1224.6,1185.3,1327.7,1189.7,1226.9,1207.9
23-04-21_14:41:40,1,zlib,262144,104857600,2,344.33,1043025595,-56.899,5.479,-25.710,False,38.142,74.270,344.5,339.2,343.3,346.2,342.6,342.0,348.1,342.9,342.6,344.0,345.1,343.1,347.7,344.8,345.0,341.5,347.0,346.9,346.2,343.8
23-04-21_14:42:47,2,lz4,262144,52428800,3,1179.22,1098976574,47.609,0.409,24.009,False,34.661,31.683,1177.4,1196.6,1159.4,1192.4,1164.2,1188.9,1169.7,1179.8,1176.5,1196.1,1182.3,1200.2,1194.6,1174.6,1153.1,1160.1,1167.3,1177.5,1176.6,1196.9
23-04-21_14:43:53,2,lz4,131072,104857600,3,1172.37,1100867669,46.752,0.237,23.495,False,32.538,33.927,1152.7,1168.5,1159.5,1163.1,1173.0,1176.2,1251.3,1260.6,1229.5,1158.0,1158.8,1161.2,1163.6,1156.6,1151.3,1142.4,1147.7,1165.0,1146.9,1161.5
23-04-21_14:44:45,1,none,262144,104857600,2,1035.15,1574681941,29.575,-42.701,-6.563,False,12.511,38.992,1039.4,1050.7,1043.5,1027.3,1031.3,1041.5,1034.3,1023.1,1033.3,1038.8,1038.5,1027.5,1039.5,1021.4,1037.2,1030.9,1041.4,1042.6,1037.4,1023.5
23-04-21_14:45:38,3,none,262144,52428800,3,1046.85,1574702337,31.039,-42.703,-5.832,False,13.030,39.283,1053.0,1052.0,1051.6,1046.3,1037.6,1057.9,1054.7,1075.3,1042.3,1047.4,1035.7,1051.1,1033.6,1041.5,1046.6,1034.7,1039.6,1043.0,1042.1,1051.0
23-04-21_14:46:27,2,none,524288,104857600,2,1057.33,1574516641,32.352,-42.686,-5.167,False,11.525,37.516,1056.7,1056.1,1054.8,1061.5,1066.1,1055.6,1065.5,1060.5,1064.8,1052.9,1056.3,1051.0,1053.5,1049.1,1059.8,1051.3,1044.9,1051.9,1054.6,1079.6
23-04-21_14:47:34,1,lz4,262144,209715200,2,1197.41,1099065353,49.887,0.401,25.144,False,34.336,33.304,1196.6,1199.3,1213.2,1220.2,1176.0,1185.1,1183.5,1190.7,1184.3,1205.7,1199.5,1206.0,1215.4,1189.0,1198.7,1196.6,1199.1,1212.4,1195.7,1181.1
23-04-21_15:01:52,3,lzma,524288,104857600,1,36.60,990042785,-95.419,10.280,-42.569,False,232.308,624.824,36.9,36.3,36.7,36.6,36.2,36.4,36.8,36.9,36.9,36.7,36.7,36.3,36.7,36.8,36.7,36.3,36.7,36.7,36.2,36.2
23-04-21_15:02:43,3,none,131072,52428800,2,1003.48,1575032937,25.611,-42.733,-8.561,False,11.067,40.163,993.4,1014.8,1000.4,1001.8,995.1,1004.9,998.3,1006.9,992.9,1008.0,1008.0,1000.1,1007.2,1016.7,992.0,1004.1,1009.2,1006.3,1000.9,1008.8
