compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
zstd,1048576,419430400,3,986.77,2538765332,97.939,26.725,62.332,False,862.5,1010.3,1021.4,1025.9,1013.1,1017.5,1011.6,1020.8,873.4,1011.2
lzma,1048576,524288000,3,107.3,2340065122,-78.476,32.46,-23.008,False,106.5,107.9,107.0,107.2,107.4,107.4,107.3,107.8,107.4,107.1
zstd,524288,524288000,3,894.99,2539309035,79.528,26.71,53.119,False,823.6,929.5,935.3,935.4,933.2,932.1,925.5,929.9,771.9,833.6
zstd,1048576,524288000,4,1011.86,2537676254,102.971,26.757,64.864,False,937.3,888.2,1067.5,1071.2,1069.4,926.7,1071.3,1074.9,1077.9,934.1
zstd,1048576,524288000,4,1006.64,2537676254,101.926,26.757,64.341,False,998.7,925.4,1088.6,887.3,1079.1,1088.1,939.4,906.7,1091.6,1061.6
zstd,1048576,419430400,3,981.06,2538765332,96.793,26.725,61.759,False,989.1,987.0,990.4,996.8,916.0,968.1,989.5,987.8,994.6,991.2
zstd,524288,524288000,3,906.4,2539309035,81.817,26.71,54.263,False,933.9,924.7,935.5,813.5,933.8,924.1,923.8,807.1,934.8,932.6
zlib,1048576,524288000,3,411.95,2776899589,-17.367,19.852,1.243,False,412.7,374.9,414.5,413.8,411.5,415.1,417.4,416.3,422.8,420.4
lzma,1048576,524288000,3,106.94,2340065122,-78.548,32.46,-23.044,False,106.4,107.7,108.2,107.5,108.0,107.6,104.6,107.5,103.9,108.1
zlib,1048576,524288000,3,399.17,2776899589,-19.929,19.852,-0.039,False,419.0,381.1,416.3,367.1,383.1,380.1,382.0,420.5,420.8,421.8
zstd,2097152,524288000,3,945.59,2536839552,89.678,26.781,58.229,False,1011.5,1008.1,892.9,881.0,879.3,897.1,1011.6,1009.8,1005.9,858.7
zstd,1048576,419430400,3,964.82,2538765332,93.536,26.725,60.13,False,1000.2,1010.9,1007.4,878.1,1010.1,877.3,867.7,988.9,1002.1,1005.5
zstd,1048576,419430400,3,971.66,2538765332,94.908,26.725,60.816,False,1003.0,1021.9,1022.4,999.1,886.5,1016.9,874.0,1001.9,885.6,1005.1
zstd,1048576,524288000,2,1067.39,2537676254,114.111,26.757,70.434,True,1070.2,1083.5,1068.2,1069.9,1072.3,1061.5,1065.0,1049.4,1068.7,1065.1
zstd,1048576,524288000,1,1058.71,2537676254,112.37,26.757,69.563,True,1043.1,1050.6,1057.7,1058.1,1061.4,1068.1,1057.9,1068.9,1044.3,1076.9
zstd,2097152,524288000,1,979.07,2536839552,96.395,26.781,61.588,False,970.8,983.1,985.5,983.8,965.4,976.3,975.8,999.5,980.5,970.1
zstd,1048576,419430400,1,1001.91,2538765332,100.975,26.725,63.85,False,999.8,1000.1,1001.8,999.8,994.8,1009.4,1005.2,1009.6,1000.7,997.9
lzma,1048576,524288000,1,106.72,2340065122,-78.592,32.46,-23.066,False,106.9,107.0,107.6,107.7,106.0,106.3,107.8,106.5,105.5,106.0
