time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-24_18:00:16,zstd,524288,52428800,2,1124.58,866518344,451772,48.815,20.579,-14.414,18.327,False,60.684,52.819,998.3,1130.4,1106.9,1119.7,1129.9,1123.1,1126.6,1129.8,1118.8,1172.2,1136.9,1137.9,1111.6,1123.5,1123.2,1149.4,1121.5,1146.9,1152.5,1132.6
23-04-24_18:02:10,zstd,524288,52428800,2,1137.51,866518344,451752,50.526,20.579,-14.409,18.899,False,60.782,52.928,1128.6,1137.5,1132.2,1136.2,1185.3,1133.0,1168.7,1130.8,1125.2,1145.7,1125.9,1129.2,1128.6,1142.1,1139.2,1132.6,1135.4,1127.5,1131.0,1135.5
23-04-24_18:04:10,lz4,524288,52428800,1,1413.25,1079210822,400164,87.014,1.085,-1.344,28.918,True,70.570,50.079,1345.7,1359.9,1456.5,1457.0,1454.7,1463.4,1457.9,1454.2,1336.7,1340.9,1454.7,1369.3,1367.4,1431.7,1359.2,1441.7,1357.3,1455.6,1458.0,1443.2
23-04-24_18:06:09,lz4,524288,104857600,1,1335.91,1079200433,403780,76.780,1.086,-2.260,25.202,False,69.974,48.596,1292.2,1329.0,1301.4,1342.0,1310.8,1312.2,1345.9,1315.4,1400.1,1358.5,1304.6,1315.3,1296.5,1361.8,1381.6,1409.3,1282.2,1385.5,1279.7,1394.2
23-04-24_18:08:05,zstd,524288,52428800,1,1123.07,866518344,355364,48.615,20.579,10.002,26.399,False,62.229,53.216,1118.8,1164.3,1107.7,1141.8,1109.1,1133.3,1135.0,1133.5,1106.0,1134.5,1097.1,1132.2,1094.4,1104.1,1127.1,1103.5,1133.8,1138.4,1136.3,1110.5
23-04-24_18:10:04,lz4,262144,52428800,1,1211.08,1081420255,363884,60.262,0.882,7.844,22.996,False,68.488,50.624,1224.5,1203.7,1258.9,1212.7,1204.8,1224.3,1189.1,1200.6,1209.7,1203.7,1214.7,1190.9,1211.3,1212.0,1205.8,1207.8,1208.2,1208.2,1213.9,1216.9
23-04-24_18:12:01,lz4,524288,104857600,1,1310.01,1079200433,431568,73.352,1.086,-9.298,21.713,False,69.302,48.300,1268.5,1321.2,1303.1,1288.6,1301.8,1311.0,1315.3,1299.7,1312.9,1313.6,1349.9,1305.7,1309.7,1298.4,1340.8,1321.8,1314.8,1302.1,1299.6,1321.7
23-04-24_18:14:01,lz4,524288,52428800,2,1293.32,1079210822,486288,71.144,1.085,-23.156,16.358,False,70.351,49.367,1361.2,1374.9,1209.4,1405.1,1009.9,1016.8,1312.8,1331.3,1312.1,1313.3,1315.1,1315.6,1328.0,1321.2,1334.8,1349.5,1325.4,1312.3,1310.0,1307.7
23-04-24_18:16:03,lz4,1048576,52428800,1,1317.16,1078257350,376972,74.298,1.172,4.529,26.667,False,72.352,49.796,1317.6,1312.9,1318.4,1293.9,1309.2,1290.5,1309.7,1310.5,1374.5,1306.7,1314.0,1323.6,1312.5,1314.5,1303.1,1369.4,1315.7,1318.5,1310.6,1317.4
23-04-24_18:18:03,lz4,524288,52428800,2,1300.86,1079210822,485980,72.142,1.085,-23.078,16.716,False,70.338,49.498,1317.4,1258.1,1348.0,1028.9,1384.0,1175.9,1356.6,1313.2,1314.5,1304.8,1317.4,1309.5,1329.1,1324.2,1331.7,1345.8,1329.3,1309.6,1305.5,1313.8
